PheCode,Phenotype,Category,OMICSPRED ID,Internal R2,Platform,Description,Hazard Ratio,FDR adjusted P-value
401.1,Essential hypertension,circulatory system,OPGS005089,0.277,RNAseq,ABHD17C,1.01 (1.01 1.02),1.04E-03
401.1,Essential hypertension,circulatory system,OPGS014051,0.022,RNAseq,CNOT2,0.99 (0.98 0.99),1.04E-03
401.1,Essential hypertension,circulatory system,OPGS011891,0.043,RNAseq,C1orf167,0.99 (0.98 0.99),1.07E-03
401.1,Essential hypertension,circulatory system,OPGS012204,0.039,RNAseq,MTRF1,1.01 (1.01 1.02),1.10E-03
401.1,Essential hypertension,circulatory system,OPGS011037,0.053,RNAseq,TMEM170A,0.99 (0.98 0.99),1.10E-03
401.1,Essential hypertension,circulatory system,OPGS007974,0.116,RNAseq,UBE2Z,0.99 (0.98 0.99),1.10E-03
401.1,Essential hypertension,circulatory system,OPGS008369,0.105,RNAseq,ADM,1.01 (1.01 1.02),1.13E-03
401.1,Essential hypertension,circulatory system,OPGS005346,0.252,RNAseq,,1.01 (1.01 1.02),1.13E-03
401.1,Essential hypertension,circulatory system,OPGS014438,0.019,RNAseq,ANP32A,1.01 (1.01 1.02),1.15E-03
401.1,Essential hypertension,circulatory system,OPGS009794,0.073,RNAseq,RN7SL473P,0.99 (0.98 0.99),1.15E-03
401.1,Essential hypertension,circulatory system,OPGS010929,0.055,RNAseq,EOMES,1.01 (1.01 1.02),1.15E-03
401.1,Essential hypertension,circulatory system,OPGS011948,0.042,RNAseq,ADGRG1,0.99 (0.98 0.99),1.15E-03
401.1,Essential hypertension,circulatory system,OPGS014606,0.018,RNAseq,KIF3B,0.99 (0.98 0.99),1.18E-03
401.1,Essential hypertension,circulatory system,OPGS014489,0.019,RNAseq,AP002381.2,1.01 (1.01 1.02),1.18E-03
401.1,Essential hypertension,circulatory system,OPGS004717,0.321,RNAseq,ARNTL,0.99 (0.98 0.99),1.18E-03
401.1,Essential hypertension,circulatory system,OPGS007680,0.126,RNAseq,AC110285.6,0.99 (0.98 0.99),1.21E-03
401.1,Essential hypertension,circulatory system,OPGS012287,0.038,RNAseq,DRD4,1.01 (1.01 1.02),1.26E-03
401.1,Essential hypertension,circulatory system,OPGS011532,0.047,RNAseq,GIT2,0.99 (0.98 0.99),1.30E-03
401.1,Essential hypertension,circulatory system,OPGS006466,0.177,RNAseq,NR1H3,1.01 (1.01 1.02),1.30E-03
401.1,Essential hypertension,circulatory system,OPGS007386,0.136,RNAseq,OCIAD1,0.99 (0.98 0.99),1.30E-03
401.1,Essential hypertension,circulatory system,OPGS011336,0.049,RNAseq,,1.01 (1.01 1.02),1.30E-03
401.1,Essential hypertension,circulatory system,OPGS004161,0.420,RNAseq,CDC16,1.01 (1.01 1.02),1.30E-03
401.1,Essential hypertension,circulatory system,OPGS012237,0.039,RNAseq,DNAJC13,1.01 (1.01 1.02),1.32E-03
401.1,Essential hypertension,circulatory system,OPGS013265,0.028,RNAseq,GATAD2B,0.99 (0.98 0.99),1.40E-03
401.1,Essential hypertension,circulatory system,OPGS010627,0.059,RNAseq,TPD52L2,1.01 (1.01 1.02),1.48E-03
401.1,Essential hypertension,circulatory system,OPGS008845,0.093,RNAseq,MLXIP,1.01 (1.01 1.02),1.53E-03
401.1,Essential hypertension,circulatory system,OPGS006075,0.199,RNAseq,RGS6,0.99 (0.98 0.99),1.54E-03
401.1,Essential hypertension,circulatory system,OPGS008628,0.098,RNAseq,DYM,0.99 (0.98 0.99),1.63E-03
401.1,Essential hypertension,circulatory system,OPGS012716,0.033,RNAseq,PSPC1-AS2,1.01 (1.01 1.02),1.66E-03
401.1,Essential hypertension,circulatory system,OPGS013817,0.024,RNAseq,MYADM,0.99 (0.98 0.99),1.77E-03
401.1,Essential hypertension,circulatory system,OPGS006713,0.165,RNAseq,TNS1,1.01 (1.01 1.02),1.80E-03
401.1,Essential hypertension,circulatory system,OPGS006265,0.188,RNAseq,RBM6,0.99 (0.98 0.99),1.80E-03
401.1,Essential hypertension,circulatory system,OPGS012496,0.036,RNAseq,NT5DC4,1.01 (1.01 1.02),1.82E-03
401.1,Essential hypertension,circulatory system,OPGS004845,0.305,RNAseq,PLEKHH2,1.01 (1.01 1.02),1.94E-03
401.1,Essential hypertension,circulatory system,OPGS014960,0.016,RNAseq,MYNN,0.99 (0.98 0.99),2.06E-03
401.1,Essential hypertension,circulatory system,OPGS008005,0.115,RNAseq,GNGT2,1.01 (1.01 1.02),2.12E-03
401.1,Essential hypertension,circulatory system,OPGS006941,0.154,RNAseq,RBMS1,1.01 (1.01 1.02),2.12E-03
401.1,Essential hypertension,circulatory system,OPGS005430,0.244,RNAseq,NCF1,1.01 (1.01 1.02),2.14E-03
401.1,Essential hypertension,circulatory system,OPGS011188,0.051,RNAseq,TRIM8,1.01 (1.01 1.02),2.22E-03
401.1,Essential hypertension,circulatory system,OPGS005186,0.267,RNAseq,NEIL2,1.01 (1.01 1.02),2.23E-03
401.1,Essential hypertension,circulatory system,OPGS014010,0.022,RNAseq,CYTH1,0.99 (0.98 0.99),2.51E-03
401.1,Essential hypertension,circulatory system,OPGS007065,0.149,RNAseq,TRAF3IP3,1.01 (1.01 1.02),2.51E-03
401.1,Essential hypertension,circulatory system,OPGS010454,0.062,RNAseq,GP1BA,1.01 (1.01 1.02),2.55E-03
401.1,Essential hypertension,circulatory system,OPGS013324,0.028,RNAseq,PRF1,0.99 (0.98 0.99),2.65E-03
401.1,Essential hypertension,circulatory system,OPGS013514,0.026,RNAseq,GZMK,1.01 (1.01 1.02),2.66E-03
401.1,Essential hypertension,circulatory system,OPGS006780,0.161,RNAseq,LY6E-DT,1.01 (1.01 1.02),2.70E-03
401.1,Essential hypertension,circulatory system,OPGS004688,0.325,RNAseq,MERTK,1.01 (1.01 1.02),2.77E-03
401.1,Essential hypertension,circulatory system,OPGS012118,0.040,RNAseq,KIAA0753,0.99 (0.98 0.99),2.84E-03
401.1,Essential hypertension,circulatory system,OPGS007625,0.128,RNAseq,AC091045.2,1.01 (1.01 1.02),2.84E-03
401.1,Essential hypertension,circulatory system,OPGS005918,0.208,RNAseq,DDR1,1.01 (1.01 1.02),2.87E-03
401.1,Essential hypertension,circulatory system,OPGS012547,0.035,RNAseq,AP002762.2,0.99 (0.98 0.99),2.90E-03
401.1,Essential hypertension,circulatory system,OPGS014344,0.020,RNAseq,AC022167.3,1.01 (1.01 1.02),2.90E-03
401.1,Essential hypertension,circulatory system,OPGS011367,0.049,RNAseq,SLK,1.01 (1.01 1.02),2.92E-03
401.1,Essential hypertension,circulatory system,OPGS005369,0.249,RNAseq,WFDC3,0.99 (0.98 0.99),2.98E-03
401.1,Essential hypertension,circulatory system,OPGS014082,0.022,RNAseq,ASXL1,1.01 (1.01 1.02),3.00E-03
401.1,Essential hypertension,circulatory system,OPGS007342,0.138,RNAseq,MAP3K7CL,0.99 (0.98 0.99),3.03E-03
401.1,Essential hypertension,circulatory system,OPGS007292,0.140,RNAseq,ZDHHC18,1.01 (1.01 1.02),3.05E-03
401.1,Essential hypertension,circulatory system,OPGS012899,0.032,RNAseq,AL590822.2,1.01 (1.01 1.02),3.08E-03
401.1,Essential hypertension,circulatory system,OPGS014325,0.020,RNAseq,RGS14,1.01 (1.01 1.02),3.08E-03
401.1,Essential hypertension,circulatory system,OPGS011308,0.049,RNAseq,PI4K2B,0.99 (0.98 0.99),3.08E-03
401.1,Essential hypertension,circulatory system,OPGS011776,0.044,RNAseq,LST1,1.01 (1.01 1.02),3.08E-03
401.1,Essential hypertension,circulatory system,OPGS011085,0.053,RNAseq,CHRAC1,0.99 (0.98 0.99),3.09E-03
401.1,Essential hypertension,circulatory system,OPGS009077,0.088,RNAseq,DDAH2,0.99 (0.98 0.99),3.11E-03
401.1,Essential hypertension,circulatory system,OPGS005108,0.275,RNAseq,IBA57,0.99 (0.98 0.99),3.13E-03
401.1,Essential hypertension,circulatory system,OPGS010023,0.069,RNAseq,SLC16A1,0.99 (0.98 0.99),3.14E-03
401.1,Essential hypertension,circulatory system,OPGS010035,0.069,RNAseq,UTP4,1.01 (1.01 1.02),3.17E-03
401.1,Essential hypertension,circulatory system,OPGS008661,0.097,RNAseq,ZNFX1,1.01 (1.01 1.02),3.21E-03
401.1,Essential hypertension,circulatory system,OPGS004598,0.340,RNAseq,RPAP1,0.99 (0.98 0.99),3.26E-03
401.1,Essential hypertension,circulatory system,OPGS012824,0.032,RNAseq,USP34,1.01 (1.01 1.02),3.26E-03
401.1,Essential hypertension,circulatory system,OPGS013899,0.023,RNAseq,AC025279.1,1.01 (1.01 1.02),3.33E-03
401.1,Essential hypertension,circulatory system,OPGS006324,0.185,RNAseq,RPS23,0.99 (0.98 0.99),3.36E-03
401.1,Essential hypertension,circulatory system,OPGS004707,0.323,RNAseq,,0.99 (0.98 0.99),3.45E-03
401.1,Essential hypertension,circulatory system,OPGS004490,0.357,RNAseq,BORCS7,0.99 (0.98 0.99),3.50E-03
401.1,Essential hypertension,circulatory system,OPGS014071,0.022,RNAseq,AC007342.9,0.99 (0.98 0.99),3.55E-03
401.1,Essential hypertension,circulatory system,OPGS012758,0.033,RNAseq,CMIP,1.01 (1.01 1.02),3.65E-03
401.1,Essential hypertension,circulatory system,OPGS014423,0.020,RNAseq,UCHL5,1.01 (1.01 1.02),3.68E-03
401.1,Essential hypertension,circulatory system,OPGS011856,0.043,RNAseq,E2F1,0.99 (0.98 0.99),3.78E-03
401.1,Essential hypertension,circulatory system,OPGS008784,0.094,RNAseq,,0.99 (0.98 0.99),3.80E-03
401.1,Essential hypertension,circulatory system,OPGS010853,0.056,RNAseq,STN1,0.99 (0.98 0.99),3.83E-03
401.1,Essential hypertension,circulatory system,OPGS007103,0.148,RNAseq,AC007384.1,1.01 (1.01 1.02),3.83E-03
401.1,Essential hypertension,circulatory system,OPGS009105,0.087,RNAseq,ZNF589,0.99 (0.98 0.99),3.85E-03
401.1,Essential hypertension,circulatory system,OPGS011360,0.049,RNAseq,PODXL,0.99 (0.98 0.99),3.87E-03
401.1,Essential hypertension,circulatory system,OPGS003856,0.526,RNAseq,RPS26,0.99 (0.98 0.99),3.92E-03
401.1,Essential hypertension,circulatory system,OPGS006725,0.164,RNAseq,ZNF160,0.99 (0.98 0.99),3.97E-03
401.1,Essential hypertension,circulatory system,OPGS011132,0.052,RNAseq,HEATR5B,1.01 (1.01 1.02),4.03E-03
401.1,Essential hypertension,circulatory system,OPGS006033,0.201,RNAseq,SFXN2,1.01 (1.01 1.02),4.12E-03
401.1,Essential hypertension,circulatory system,OPGS008157,0.110,RNAseq,WRN,1.01 (1.01 1.02),4.12E-03
401.1,Essential hypertension,circulatory system,OPGS004678,0.327,RNAseq,ZNF772,0.99 (0.98 0.99),4.21E-03
401.1,Essential hypertension,circulatory system,OPGS008650,0.098,RNAseq,ATP5MC1,0.99 (0.98 0.99),4.27E-03
401.1,Essential hypertension,circulatory system,OPGS006761,0.162,RNAseq,MGAT3,1.01 (1.01 1.02),4.29E-03
401.1,Essential hypertension,circulatory system,OPGS010348,0.063,RNAseq,TRBV6-5,1.01 (1.01 1.02),4.29E-03
401.1,Essential hypertension,circulatory system,OPGS003893,0.509,RNAseq,GRHL1,1.01 (1.01 1.02),4.32E-03
401.1,Essential hypertension,circulatory system,OPGS009729,0.074,RNAseq,LINC01259,1.01 (1.01 1.02),4.34E-03
401.1,Essential hypertension,circulatory system,OPGS008572,0.099,RNAseq,GGT5,1.01 (1.01 1.02),4.42E-03
401.1,Essential hypertension,circulatory system,OPGS004904,0.299,RNAseq,LAIR2,1.01 (1.01 1.02),4.42E-03
401.1,Essential hypertension,circulatory system,OPGS008352,0.105,RNAseq,THUMPD1,1.01 (1.01 1.02),4.60E-03
401.1,Essential hypertension,circulatory system,OPGS013822,0.024,RNAseq,SMC6,1.01 (1.01 1.02),4.63E-03
401.1,Essential hypertension,circulatory system,OPGS004193,0.413,RNAseq,CBWD1,0.99 (0.98 0.99),4.63E-03
401.1,Essential hypertension,circulatory system,OPGS010169,0.066,RNAseq,C1orf43,0.99 (0.98 0.99),4.63E-03
401.1,Essential hypertension,circulatory system,OPGS011919,0.042,RNAseq,SOS2,0.99 (0.98 0.99),4.63E-03
401.1,Essential hypertension,circulatory system,OPGS004171,0.417,RNAseq,AC097382.3,0.99 (0.98 0.99),4.65E-03
401.1,Essential hypertension,circulatory system,OPGS006230,0.190,RNAseq,CHRNB1,0.99 (0.98 0.99),4.74E-03
401.1,Essential hypertension,circulatory system,OPGS004480,0.358,RNAseq,FAM167A,1.01 (1.01 1.02),4.86E-03
401.1,Essential hypertension,circulatory system,OPGS010760,0.057,RNAseq,SNX2,1.01 (1.01 1.02),4.90E-03
401.1,Essential hypertension,circulatory system,OPGS007289,0.140,RNAseq,HYI,0.99 (0.98 0.99),4.90E-03
401.1,Essential hypertension,circulatory system,OPGS010880,0.056,RNAseq,ADIPOR1,1.01 (1.01 1.02),4.93E-03
401.1,Essential hypertension,circulatory system,OPGS004296,0.390,RNAseq,PRELID1,1.01 (1.01 1.02),4.98E-03
401.1,Essential hypertension,circulatory system,OPGS013705,0.025,RNAseq,AL512408.1,0.99 (0.98 0.99),5.24E-03
401.1,Essential hypertension,circulatory system,OPGS013459,0.027,RNAseq,PRR11,1.01 (1.01 1.02),5.42E-03
401.1,Essential hypertension,circulatory system,OPGS009260,0.084,RNAseq,CSK,1.01 (1.01 1.02),5.49E-03
401.1,Essential hypertension,circulatory system,OPGS006216,0.191,RNAseq,RRAGD,1.01 (1.01 1.02),5.53E-03
401.1,Essential hypertension,circulatory system,OPGS013543,0.026,RNAseq,C11orf58,1.01 (1.01 1.02),5.53E-03
401.1,Essential hypertension,circulatory system,OPGS003638,0.648,RNAseq,MGST3,0.99 (0.98 0.99),5.61E-03
401.1,Essential hypertension,circulatory system,OPGS014550,0.019,RNAseq,ACAD10,0.99 (0.98 0.99),5.62E-03
401.1,Essential hypertension,circulatory system,OPGS004315,0.386,RNAseq,AL391314.1,1.01 (1.01 1.02),5.66E-03
401.1,Essential hypertension,circulatory system,OPGS012904,0.032,RNAseq,ZMIZ1,1.01 (1.01 1.02),5.67E-03
401.1,Essential hypertension,circulatory system,OPGS004456,0.362,RNAseq,RIN1,1.01 (1.01 1.02),5.72E-03
401.1,Essential hypertension,circulatory system,OPGS010603,0.059,RNAseq,PTPRF,1.01 (1.01 1.02),5.82E-03
401.1,Essential hypertension,circulatory system,OPGS010370,0.063,RNAseq,TP53INP1,1.01 (1.01 1.02),5.97E-03
401.1,Essential hypertension,circulatory system,OPGS008169,0.110,RNAseq,AC104695.3,1.01 (1.01 1.02),6.09E-03
401.1,Essential hypertension,circulatory system,OPGS009171,0.086,RNAseq,NTN5,1.01 (1.01 1.02),6.09E-03
401.1,Essential hypertension,circulatory system,OPGS011260,0.050,RNAseq,AL121845.4,0.99 (0.98 0.99),6.13E-03
401.1,Essential hypertension,circulatory system,OPGS009783,0.073,RNAseq,CRK,0.99 (0.98 0.99),6.20E-03
401.1,Essential hypertension,circulatory system,OPGS008601,0.099,RNAseq,COLQ,1.01 (1.01 1.02),6.23E-03
401.1,Essential hypertension,circulatory system,OPGS009294,0.083,RNAseq,MANBA,0.99 (0.98 0.99),6.26E-03
401.1,Essential hypertension,circulatory system,OPGS014924,0.016,RNAseq,ZNF341,1.01 (1.01 1.02),6.36E-03
401.1,Essential hypertension,circulatory system,OPGS015007,0.016,RNAseq,RMDN3,1.01 (1.01 1.02),6.36E-03
401.1,Essential hypertension,circulatory system,OPGS008652,0.097,RNAseq,AC006252.1,0.99 (0.98 0.99),6.39E-03
401.1,Essential hypertension,circulatory system,OPGS014027,0.022,RNAseq,PPP2R2A,0.99 (0.98 0.99),6.39E-03
401.1,Essential hypertension,circulatory system,OPGS008226,0.108,RNAseq,DPH1,1.01 (1.01 1.02),6.49E-03
401.1,Essential hypertension,circulatory system,OPGS013225,0.029,RNAseq,REG4,1.01 (1.01 1.02),6.57E-03
401.1,Essential hypertension,circulatory system,OPGS014093,0.022,RNAseq,MYBL1,1.01 (1.01 1.02),6.57E-03
401.1,Essential hypertension,circulatory system,OPGS011979,0.041,RNAseq,AC104083.1,0.99 (0.98 0.99),6.57E-03
401.1,Essential hypertension,circulatory system,OPGS012405,0.037,RNAseq,PTOV1,0.99 (0.98 0.99),6.62E-03
401.1,Essential hypertension,circulatory system,OPGS008023,0.115,RNAseq,ARNT,0.99 (0.98 0.99),6.64E-03
401.1,Essential hypertension,circulatory system,OPGS006065,0.200,RNAseq,RRP15,1.01 (1.01 1.02),6.65E-03
401.1,Essential hypertension,circulatory system,OPGS012475,0.036,RNAseq,SCRN3,0.99 (0.98 0.99),6.65E-03
401.1,Essential hypertension,circulatory system,OPGS004733,0.319,RNAseq,LRPPRC,0.99 (0.98 0.99),6.65E-03
401.1,Essential hypertension,circulatory system,OPGS009423,0.081,RNAseq,PSTPIP2,1.01 (1.01 1.02),6.65E-03
401.1,Essential hypertension,circulatory system,OPGS010939,0.055,RNAseq,TM7SF2,0.99 (0.98 0.99),6.71E-03
401.1,Essential hypertension,circulatory system,OPGS004485,0.357,RNAseq,LPL,0.99 (0.98 0.99),6.72E-03
401.1,Essential hypertension,circulatory system,OPGS013688,0.025,RNAseq,AC004825.2,0.99 (0.98 0.99),6.82E-03
401.1,Essential hypertension,circulatory system,OPGS012847,0.032,RNAseq,PARTICL,1.01 (1.01 1.02),6.82E-03
401.1,Essential hypertension,circulatory system,OPGS010691,0.058,RNAseq,RPRD2,1.01 (1.01 1.02),6.83E-03
401.1,Essential hypertension,circulatory system,OPGS008908,0.092,RNAseq,LRCH1,0.99 (0.98 0.99),6.83E-03
401.1,Essential hypertension,circulatory system,OPGS005117,0.275,RNAseq,NPIPB12,1.01 (1.01 1.02),7.07E-03
401.1,Essential hypertension,circulatory system,OPGS005271,0.259,RNAseq,KLHL5,1.01 (1.01 1.02),7.21E-03
401.1,Essential hypertension,circulatory system,OPGS009390,0.082,RNAseq,ZFAND1,1.01 (1.01 1.02),7.21E-03
401.1,Essential hypertension,circulatory system,OPGS012928,0.032,RNAseq,ATP1A1,1.01 (1.01 1.02),7.34E-03
401.1,Essential hypertension,circulatory system,OPGS006435,0.179,RNAseq,OSGIN2,0.99 (0.98 0.99),7.40E-03
401.1,Essential hypertension,circulatory system,OPGS004980,0.289,RNAseq,BDH2,0.99 (0.98 1.00),7.49E-03
401.1,Essential hypertension,circulatory system,OPGS013396,0.027,RNAseq,AC004241.2,1.01 (1.00 1.02),7.64E-03
401.1,Essential hypertension,circulatory system,OPGS012160,0.040,RNAseq,ARHGAP42,1.01 (1.00 1.02),7.65E-03
401.1,Essential hypertension,circulatory system,OPGS008537,0.101,RNAseq,CERS6,1.01 (1.00 1.02),7.67E-03
401.1,Essential hypertension,circulatory system,OPGS014420,0.020,RNAseq,SGO1,1.01 (1.00 1.02),7.67E-03
401.1,Essential hypertension,circulatory system,OPGS005411,0.245,RNAseq,REEP1,1.01 (1.00 1.02),7.68E-03
401.1,Essential hypertension,circulatory system,OPGS008012,0.115,RNAseq,GNL3,0.99 (0.98 1.00),7.68E-03
401.1,Essential hypertension,circulatory system,OPGS003817,0.542,RNAseq,NPIPB2,1.01 (1.00 1.02),7.81E-03
401.1,Essential hypertension,circulatory system,OPGS005036,0.283,RNAseq,NAA60,0.99 (0.98 1.00),7.92E-03
401.1,Essential hypertension,circulatory system,OPGS010521,0.061,RNAseq,BICRAL,1.01 (1.00 1.02),8.27E-03
401.1,Essential hypertension,circulatory system,OPGS008681,0.097,RNAseq,POLR2C,1.01 (1.00 1.02),8.39E-03
401.1,Essential hypertension,circulatory system,OPGS008503,0.102,RNAseq,ANKIB1,0.99 (0.98 1.00),8.43E-03
401.1,Essential hypertension,circulatory system,OPGS005236,0.262,RNAseq,SFXN4,0.99 (0.98 1.00),8.65E-03
401.1,Essential hypertension,circulatory system,OPGS006535,0.174,RNAseq,PSRC1,0.99 (0.98 1.00),8.65E-03
401.1,Essential hypertension,circulatory system,OPGS011291,0.050,RNAseq,GMPPB,1.01 (1.00 1.02),8.91E-03
401.1,Essential hypertension,circulatory system,OPGS006806,0.160,RNAseq,KLHL9,1.01 (1.00 1.02),8.91E-03
401.1,Essential hypertension,circulatory system,OPGS013199,0.029,RNAseq,ACP1,0.99 (0.98 1.00),9.07E-03
401.1,Essential hypertension,circulatory system,OPGS004201,0.411,RNAseq,IPO8,0.99 (0.98 1.00),9.36E-03
401.1,Essential hypertension,circulatory system,OPGS014148,0.021,RNAseq,DDI2,0.99 (0.98 1.00),9.44E-03
401.1,Essential hypertension,circulatory system,OPGS006754,0.163,RNAseq,SDCCAG8,1.01 (1.00 1.02),9.44E-03
401.1,Essential hypertension,circulatory system,OPGS004370,0.376,RNAseq,LINC01825,0.99 (0.98 1.00),9.44E-03
401.1,Essential hypertension,circulatory system,OPGS006943,0.154,RNAseq,EVI5,1.01 (1.00 1.02),9.59E-03
401.1,Essential hypertension,circulatory system,OPGS011460,0.047,RNAseq,RGCC,0.99 (0.98 1.00),9.62E-03
401.1,Essential hypertension,circulatory system,OPGS012870,0.032,RNAseq,OAZ2,0.99 (0.98 1.00),9.81E-03
401.1,Essential hypertension,circulatory system,OPGS004234,0.404,RNAseq,FBN2,1.01 (1.00 1.02),9.82E-03
401.1,Essential hypertension,circulatory system,OPGS006235,0.190,RNAseq,CHMP1A,1.01 (1.00 1.02),9.82E-03
401.1,Essential hypertension,circulatory system,OPGS004207,0.410,RNAseq,KCTD21-AS1,1.01 (1.00 1.02),9.87E-03
401.1,Essential hypertension,circulatory system,OPGS004925,0.295,RNAseq,ELOVL7,0.99 (0.98 1.00),9.87E-03
401.1,Essential hypertension,circulatory system,OPGS013958,0.023,RNAseq,CSNK2B,0.99 (0.98 1.00),9.87E-03
401.1,Essential hypertension,circulatory system,OPGS013797,0.024,RNAseq,LMTK3,0.99 (0.98 1.00),1.01E-02
401.1,Essential hypertension,circulatory system,OPGS008450,0.103,RNAseq,MPO,1.01 (1.00 1.02),1.07E-02
401.1,Essential hypertension,circulatory system,OPGS004291,0.390,RNAseq,PTPN12,1.01 (1.00 1.02),1.07E-02
401.1,Essential hypertension,circulatory system,OPGS007207,0.143,RNAseq,PPP1R37,1.01 (1.00 1.02),1.07E-02
401.1,Essential hypertension,circulatory system,OPGS004893,0.300,RNAseq,UBE2E3,0.99 (0.98 1.00),1.09E-02
401.1,Essential hypertension,circulatory system,OPGS011963,0.042,RNAseq,GPAT4,1.01 (1.00 1.02),1.11E-02
401.1,Essential hypertension,circulatory system,OPGS013068,0.030,RNAseq,AL021807.1,0.99 (0.98 1.00),1.14E-02
401.1,Essential hypertension,circulatory system,OPGS007993,0.116,RNAseq,FRRS1,1.01 (1.00 1.02),1.15E-02
401.1,Essential hypertension,circulatory system,OPGS012842,0.032,RNAseq,PFKM,1.01 (1.00 1.02),1.17E-02
401.1,Essential hypertension,circulatory system,OPGS007730,0.124,RNAseq,CKB,0.99 (0.98 1.00),1.18E-02
401.1,Essential hypertension,circulatory system,OPGS006403,0.180,RNAseq,AL356599.1,1.01 (1.00 1.02),1.19E-02
